Z_PK,Z_ENT,Z_OPT,ZAUTOCOMPLETE,ZBONUS1,ZBONUS2,ZHOMEALT,ZHOMEFOULS,ZHOMESCORE,ZHOMETIMEOUTS,ZHOMETIMEOUTS30,ZOTLENGTH,ZPERLENGTH,ZPERIOD,ZPERIODS,ZPOSSESSIONHOME,ZPSGAMEID,ZRESETFOULS,ZRUNNINGCLOCK,ZSHOTLOCATION,ZSHOWALL,ZSHOWCLOCK,ZSHOWFOULS,ZSHOWNAMES,ZSHOWSCORE,ZSORTORDER,ZTECHNICALPTS,ZTHREEPT,ZTIMEOUTS,ZTIMEOUTS30,ZTIMEOUTS30PER,ZTIMEOUTSPER,ZTRACKTIME,ZTYPE,ZVISITORSALT,ZVISITORSFOULS,ZVISITORSSCORE,ZVISITORSTIMEOUTS,ZVISITORSTIMEOUTS30,ZHOME,ZSEASON,ZVISITORS,ZDATE,ZPAUSETIME,ZSTARTTIME,ZCUST1LABEL,ZCUST2LABEL,ZLOCATION
1,2,2,1,7,10,NA,9,65,2,1,4,8,9,4,NA,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,NA,7,46,2,0,51,7,16,412131689.647656,412135688.857632,412135207.994062,Custom 1,Custom 2,
2,2,2,1,7,10,0,20,64,0,0,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,14,72,2,0,71,5,50,442549844.473978,442556254.429662,442555774.7768353,Custom 1,Custom 2,
3,2,2,1,7,10,0,7,61,0,0,4,8,9,4,0,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,5,62,1,0,61,8,90,475029968.952779,475035369.823314,475034890.14767796,Custom 1,Custom 2,
4,2,2,1,7,10,NA,15,45,2,0,4,8,9,4,NA,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,NA,11,56,1,0,93,1,83,413000904.946128,413006294.299358,413005813.830008,Custom 1,Custom 2,
5,2,2,1,7,10,0,0,54,3,2,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,12,51,3,2,70,5,71,442469006.896699,442473609.599282,442473128.6105839,Custom 1,Custom 2,
6,2,2,1,7,10,NA,8,55,2,0,4,8,9,4,NA,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,2,NA,10,57,0,0,93,1,15,414468056,414473501.496445,414473021.46913105,Custom 1,Custom 2,
7,2,2,1,7,10,0,13,52,0,1,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,8,62,3,0,77,4,24,444358840,444364031.998655,444363552.0679988,Custom 1,Custom 2,
8,2,2,1,7,10,0,12,71,3,0,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,12,67,2,0,50,5,71,444364517.955879,444370392.896014,444369912.87716097,Custom 1,Custom 2,
9,2,2,1,7,10,0,10,55,3,0,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,12,41,1,1,24,4,8,439519663.260934,439525212.25721,439524732.321154,Custom 1,Custom 2,
10,2,2,1,7,10,0,7,52,3,0,4,8,9,4,0,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,6,65,3,2,82,4,90,477015096.162692,477022106.0788,477021626.51045597,Custom 1,Custom 2,
11,2,2,1,7,10,NA,8,36,3,0,4,8,9,4,NA,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,NA,10,51,2,2,60,7,51,412304357.645665,412308505.96376,412308025.948637,Custom 1,Custom 2,
12,2,2,1,7,10,0,7,39,2,0,4,8,9,4,0,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,5,58,2,0,65,6,35,503634609,503638041.138139,503637561.62333316,Custom 1,Custom 2,Highland High School
13,2,2,1,7,10,0,12,78,2,0,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,16,63,1,0,71,5,66,444795701.421656,444801777.959603,444801298.5108762,Custom 1,Custom 2,
14,2,2,1,7,10,0,11,76,3,0,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,2,0,14,74,1,0,28,5,71,446090157.002934,446095310.567597,446094830.3608852,Custom 1,Custom 2,
15,2,2,1,7,10,NA,6,58,2,0,4,8,9,4,NA,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,NA,9,45,1,0,79,1,93,413519459.747767,413524293.838519,413523813.69759303,Custom 1,Custom 2,
16,2,2,1,7,10,0,10,30,2,2,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,11,73,1,1,12,5,71,439870100.971466,440034099.854184,439875481.6898059,Custom 1,Custom 2,
17,2,2,1,7,10,0,11,68,3,2,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,12,30,1,1,81,3,63,502425015,502429900.50062,502429420.50062,Custom 1,Custom 2,Madison High School
18,2,2,1,7,10,0,13,72,3,1,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,5,41,2,0,24,4,77,442543998.825712,442549396.730293,442548917.1246163,Custom 1,Custom 2,
19,2,2,1,7,10,0,8,59,3,1,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,14,39,0,0,81,3,85,502770622,502775755.243118,502775275.959949,Custom 1,Custom 2,Madison High School
20,2,2,1,7,10,0,12,46,3,2,4,8,9,4,0,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,8,60,3,1,41,6,35,503024426,503027540.450071,503027060.43909514,Custom 1,Custom 2,
21,2,2,1,7,10,NA,10,64,2,2,4,8,9,4,NA,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,NA,11,52,2,0,93,1,10,412137006,412141765.922404,412141285.01061803,Custom 1,Custom 2,
22,2,2,1,7,10,0,11,67,0,0,4,8,9,4,1,0,2,0,1,0,1,1,1,1,0,0,1,3,2,1,1,1,0,0,12,72,2,1,45,5,71,444968761.249435,444974508.150246,444974028.3844373,Custom 1,Custom 2,
