Z_PK,Z_ENT,Z_OPT,ZPRICOLOR,ZPSTEAMID,ZSECCOLOR,ZLEAGUE,ZPRICOLORB,ZPRICOLORG,ZPRICOLORR,ZSECCOLORB,ZSECCOLORG,ZSECCOLORR,ZNAME
1,6,7,4,0,19,5,1,1,1,0.2716331481933594,0.3312349319458008,0.3799999952316284,Capital Varsity 15-16
2,6,7,4,0,19,5,1,1,1,0.3764705955982208,0.125490203499794,0,Skyview Varsity 15-16
3,6,7,4,0,19,3,1,1,1,0,0.2866666615009308,0,Borah JV 16-17
4,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,syracuse Titans
5,6,7,4,0,6,2,1,1,1,0,0.501960813999176,0,clearfield jv
6,6,7,4,0,5,2,1,1,1,0,0,1,Pocatello Varsity
7,6,7,11,0,4,2,0,0.4000000059604645,1,1,1,1,Idaho Falls Varsity
8,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,Borah jv
9,6,7,4,0,19,6,1,1,1,0.9466666579246521,0.8417443037033081,0.04733334481716156,Skyline JV 15-16
10,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,Blackfoot Varsity
11,6,7,4,0,19,4,1,1,1,0.03866833448410034,0.03866833448410034,0.3799999952316284,2015-2016 JV Season
12,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,blackfoot varsity
13,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,Skyline Varsity
14,6,7,4,0,19,6,1,1,1,0.12999999523162842,0.12999999523162842,1,Hillcrest JV 15-16
15,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,Hillcrest Varsity
16,6,7,4,0,6,2,1,1,1,0,0.501960813999176,0,Blackfoot JV
17,6,499,4,0,19,3,1,1,1,0.3764705955982208,0.125490203499794,0,Idaho Falls JV 16-17
18,6,7,4,0,19,5,1,1,1,0.1483999788761139,0.12133333086967468,0.9333333373069763,Hillcrest Varsity 15-16
19,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,pocatello JV
20,6,7,4,0,19,5,1,1,1,0,0.4099999964237213,0.0068333265371620655,Bonneville Varsity 15-16
21,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,capital JV
22,6,7,4,0,19,5,1,1,1,0.05120731145143509,0.3799999952316284,0.04788617789745331,Blackfoot Varsity 15-16
23,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,Idaho Falls JV
24,6,7,4,0,19,4,1,1,1,0.17000001668930054,0.17000001668930054,1,Madison JV
25,6,7,4,0,19,5,1,1,1,0.045813024044036865,0.5035646557807922,0.9800000190734863,Idaho Falls Varsity 15-16
26,6,7,4,0,19,5,1,1,1,0.021959807723760605,0.3799999952316284,0.032701004296541214,Borah Varsity 15-16
27,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,Clearfield Varsity
28,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,Highland Vasity
29,6,8,4,0,19,5,1,1,1,0.26491114497184753,0.1790333390235901,0.43666666746139526,Rigby Varsity 15-16
30,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,twin falls Varsity
31,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,Hillcrest Jv
32,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,highland JV
33,6,240,4,0,19,1,1,1,1,1,0.824999988079071,0.1666666865348816,Skyview Varsity 16-17
34,6,7,4,0,19,3,1,1,1,0.3764705955982208,0.125490203499794,0,Syracuse JV 16-17
35,6,4191,4,0,19,3,1,1,1,0.17306669056415558,0.17306669056415558,0.7866666913032532,Madison JV 16-17
36,6,7,4,0,7,2,1,1,1,0.7529411911964417,0.43921568989753723,0,Syracuse Falcons Varsity
37,6,7,4,0,19,4,1,1,1,0.3764705955982208,0.125490203499794,0,Bonneville JV
38,6,7,4,0,19,6,1,1,1,0.3764705955982208,0.125490203499794,0,Skyview JV 15-16
39,6,7,4,0,19,6,1,1,1,0,0,0,Idaho Falls JV 15-16
