Z_4PLAYERS,Z_6TEAMS
1,31
2,24
3,92
4,75
5,88
6,28
7,60
8,68
9,60
10,62
11,17
12,56
13,52
14,26
15,78
16,73
17,72
18,38
19,10
20,86
21,26
22,34
23,81
24,58
25,93
25,71
26,47
27,88
28,13
29,27
30,6
31,46
32,61
33,22
34,49
35,49
36,23
37,60
38,50
39,39
40,14
41,72
42,7
43,70
44,18
45,46
46,33
47,63
48,76
49,41
50,33
51,78
52,31
53,86
54,42
55,55
56,37
57,30
58,61
59,21
60,14
61,47
62,51
63,5
64,11
65,87
66,21
67,46
68,22
69,54
70,91
71,9
72,46
73,34
74,19
75,8
76,39
77,52
78,77
79,7
80,89
81,79
82,48
83,88
84,10
85,80
86,73
87,79
88,91
89,21
90,60
91,48
92,56
93,65
94,35
95,27
96,7
97,22
98,40
99,64
100,7
101,83
102,23
103,73
104,4
105,45
106,1
107,58
108,39
109,6
110,65
111,55
112,51
113,22
114,33
115,20
116,37
118,32
117,92
120,48
121,54
122,2
123,53
124,41
125,5
126,67
119,75
127,27
128,8
129,82
130,22
131,5
132,30
133,1
134,57
135,12
136,6
137,52
138,70
139,38
140,70
141,17
142,25
143,92
144,62
145,31
146,40
147,69
148,53
149,32
150,37
151,71
152,14
153,88
154,81
155,87
156,76
157,56
159,27
158,57
160,26
161,66
162,2
163,53
164,9
165,54
166,61
167,67
168,29
169,91
170,80
171,4
172,57
173,47
174,57
175,28
176,29
177,41
178,3
179,6
180,55
181,88
182,1
183,35
184,83
185,43
186,39
187,69
188,86
189,11
190,37
191,32
192,90
193,80
194,9
195,37
196,70
197,30
198,5
199,52
200,51
200,71
201,17
202,26
203,18
204,58
205,85
206,20
207,12
208,71
209,25
210,23
211,8
212,85
214,65
215,80
216,67
217,18
218,31
219,90
220,7
221,57
222,89
223,75
224,8
225,15
226,66
227,34
228,36
229,3
230,32
231,19
232,86
233,77
234,23
235,3
236,3
237,38
238,17
239,14
240,24
241,10
242,86
243,33
244,75
245,68
246,18
247,87
248,72
249,91
250,20
251,74
252,86
253,52
254,41
255,74
256,68
257,13
258,32
259,91
260,89
261,66
262,68
263,42
264,82
265,87
266,70
267,26
268,11
269,87
270,21
271,84
272,65
273,65
274,90
275,67
276,30
277,56
278,62
279,83
280,60
281,32
282,66
283,35
284,86
285,77
286,6
287,16
288,27
289,3
290,33
291,9
292,33
293,35
294,17
295,5
296,48
297,10
298,69
299,58
300,58
301,19
302,7
303,39
304,48
305,61
306,19
307,70
308,13
309,46
310,27
311,32
312,83
313,90
314,10
315,21
316,20
317,42
318,92
319,72
320,18
321,42
322,67
323,82
324,76
325,46
326,37
327,85
328,47
329,92
330,16
331,75
332,57
333,7
334,1
335,74
336,25
337,67
338,19
339,30
340,54
341,90
342,74
343,18
344,21
345,2
346,2
347,52
348,37
349,57
350,88
351,24
352,14
